id,title,pagerank,betweenness,in_degree,out_degree
dg-ga/9710026,Introduction to the Tangent Grupoid,2.2877184598445777e-06,3.4519340348989628e-06,3.0,3.0
dg-ga/9708005,"Exterior differential systems: a geometric approach to PDE. Lecture
  notes from the 1997 Daewoo workshop",2.27910810532043e-06,0.0,2.0,0.0
hep-th/9611185,A Nonrelativistic Chiral Soliton in One Dimension,2.245979448334096e-06,0.0,2.0,10.0
dg-ga/9411008,Smooth structures on certain moduli spaces for bundles on a surface,2.2081850382722614e-06,0.0,4.0,3.0
hep-th/9507140,Polynomial Invariants for SU(2) Monopoles,2.199237436638672e-06,1.0619700757978129e-07,4.0,15.0
hep-th/9611091,Field Interactions and Strings in Higher Order Anisotropic Spaces,2.194105588023513e-06,0.0,6.0,0.0
hep-th/9610096,"The Cauchy Problem for Abstract Evolution Equations with Ghost and
  Fermion Degrees of Freedom",2.183090591894573e-06,0.0,2.0,1.0
hep-th/9702054,Twisted Baryon Number in N=2 Supersymmetric QCD,2.1164828575411117e-06,7.072433387207077e-10,9.0,10.0
funct-an/9702004,Pseudodifferential operators on differential groupoids,2.1057279096485964e-06,0.0,3.0,4.0
dg-ga/9703013,Gromov Invariants and Symplectic Maps,2.087073078468716e-06,0.0,2.0,2.0
dg-ga/9704005,"Lie-Rinehart algebras, Gerstenhaber algebras, and B-V algebras",2.080766615618114e-06,0.0,1.0,1.0
hep-th/9704159,"A note on the Faddeev-Popov determinant and Chern-Simons perturbation
  theory",2.0783859038826906e-06,0.0,3.0,1.0
dg-ga/9506008,"The Centralizer of Invariant Functions and Division Properties of the
  Moment Map",2.0516935928226183e-06,0.0,2.0,2.0
alg-geom/9711030,"Quantum cohomology of the moduli space of stable bundles over a Riemann
  surface",2.042664539296745e-06,0.0,2.0,2.0
dg-ga/9603002,Equivariant torsion of locally symmetric spaces,2.00800849255242e-06,0.0,1.0,1.0
dg-ga/9601003,Cobordism theory and localization formulas for Hamiltonian group actions,1.9900738180385784e-06,0.0,1.0,0.0
hep-th/9610204,"Modular Invariance and Structure of the Exact Wilsonian Action of N=2
  SYM",1.9854078245385597e-06,0.000184130405768,6.0,9.0
hep-th/9705161,Supersymmetry and the cohomology of (hyper)Kaehler manifolds,1.982181394322366e-06,9.056164703131015e-11,2.0,3.0
hep-th/9611034,Superstrings in Higher Order Extensions of Finsler Superspaces,1.961335858506284e-06,0.0,4.0,0.0
alg-geom/9612015,Recent Developments in Seiberg-Witten Theory and Complex Geometry,1.952648559672516e-06,0.0,3.0,13.0
dg-ga/9601009,"The quantization of constrained systems: from symplectic reduction to
  Rieffel induction",1.933090641715859e-06,0.0,2.0,1.0
hep-th/9710069,On Field Theoretic Generalizations of a Poisson Algebra,1.930180436735256e-06,6.957303950653393e-07,4.0,28.0
dg-ga/9602010,Polyhedral representations of discrete differential manifolds,1.927529660948608e-06,0.0,3.0,6.0
hep-th/9703083,"Local U(2,2) Symmetry in Relativistic Quantum Mechanics",1.912769945896358e-06,0.0,2.0,16.0
