source,target,weight,raw_count
CT,Mathematical Physics,2.0700097492410387e-05,205
CT,MP,2.0700097492410387e-05,205
CT,SG,2.4030476298175805e-05,34
CT,AG,5.009973186623505e-05,375
AT,Mathematical Physics,7.078880109306804e-06,191
AT,MP,7.078880109306804e-06,191
AT,AG,3.3442687324897866e-05,682
CO,OA,5.792685346093111e-06,73
Functional Analysis,Differential Geometry,5.378128802949208e-06,123
Optimization and Control,CO,6.906513199180268e-06,29
Optimization and Control,AG,1.907959523783479e-06,15
Functional Analysis,CO,3.047032410170408e-06,52
Functional Analysis,AG,9.388842087249758e-07,30
GT,CO,1.3580440969605893e-05,289
GT,MP,5.576925021259181e-06,294
GT,Mathematical Physics,5.576925021259181e-06,294
CA,QA,1.4645180763561635e-05,223
Probability,AG,1.365842385339922e-06,60
Exactly Solvable and Integrable Systems,AG,8.447381333263081e-06,118
Exactly Solvable and Integrable Systems,Algebraic Geometry,4.510952592895551e-06,9
OA,AG,2.7124022899456333e-06,64
DS,AG,2.5481609029252622e-06,77
Quantum Algebra,CA,1.6910873283327686e-05,58
QA,CA,1.7140772104437608e-05,261
,AG,2.909638273769805e-06,27
Quantum Algebra,NT,4.031243751572185e-06,25
QA,NT,7.627288549769147e-06,210
AG,NT,2.5856886994651466e-05,1010
NT,NT,0.0001080290654229689,1677
Algebraic Geometry,NT,1.129226533597178e-05,63
KT,AG,3.217717620404255e-05,282
KT,NT,9.761811792268646e-06,34
MG,GR,4.006891853988861e-05,102
MG,GN,8.67907702355393e-06,8
MG,DS,1.4065415302648486e-05,43
GR,GR,0.00018241251495782623,1175
GR,GN,1.800703303261588e-05,42
GR,DS,9.824422065445129e-06,76
GN,GR,1.929324967780273e-05,45
GN,GN,0.0003978398244768584,336
GN,DS,1.0710032301457422e-05,30
DS,GR,7.756122683246154e-06,60
DS,GN,1.0710032301457422e-05,30
DS,DS,9.493768987537975e-05,882
Functional Analysis,GR,8.435234635220112e-06,69
Functional Analysis,GN,1.7893695915882073e-05,53
Functional Analysis,DS,6.514854274925222e-06,64
RT,GR,1.821431417415161e-05,144
RT,GN,1.397289607483883e-06,4
RT,DS,2.2118021764133415e-06,21
CO,Exactly Solvable and Integrable Systems,9.65062719024e-06,72
RT,Exactly Solvable and Integrable Systems,1.2986909423141989e-05,57
Probability,Exactly Solvable and Integrable Systems,1.3134123911489459e-05,82
CO,RA,3.363214197938091e-05,364
QA,CO,2.7890791336341865e-05,1032
QA,RA,6.82607142017011e-05,975
AC,AG,2.974735265657536e-05,522
AG,Functional Analysis,1.5335108742507938e-06,49
Algebraic Geometry,Functional Analysis,7.669101496833318e-06,35
Exactly Solvable and Integrable Systems,Functional Analysis,3.743498149280577e-06,17
AG,CT,5.397411113055723e-05,404
QA,CT,0.0001446187788337244,763
SG,CT,2.6150812442132492e-05,37
MP,CT,1.645910190859948e-05,163
Mathematical Physics,CT,1.645910190859948e-05,163
CT,CT,0.0012753826586553222,727
AG,AC,3.0488187109708465e-05,535
AG,DS,3.276206875189623e-06,99
CO,AC,2.9342253378360354e-05,275
CO,DS,2.2925604554388208e-06,37
GT,AC,1.9680528787693484e-06,14
GT,DS,8.326590427751644e-06,102
CV,AC,2.741250613354825e-06,10
CV,DS,2.4037206411789503e-05,151
SG,AC,6.331060181249209e-06,21
SG,DS,2.8186511371244016e-05,161
OA,KT,0.00010171489410243736,214
SP,Mathematical Physics,2.5199124247288087e-05,394
SP,MP,2.5199124247288087e-05,394
CA,CO,1.6467603673315678e-05,190
CA,CA,0.00014595493172868558,693
CO,CA,2.7128210261830565e-05,313
GT,AT,7.548006957230259e-05,624
AG,CV,1.810818062019442e-05,370
Quantum Algebra,GT,2.5292819716258824e-05,160
SG,CO,5.744328986791067e-06,57
MP,LO,1.7433889148722444e-06,48
MP,NT,4.140788351923667e-06,214
Mathematical Physics,LO,1.7433889148722444e-06,48
Mathematical Physics,NT,4.140788351923667e-06,214
LO,LO,0.00020200640019828403,890
LO,NT,3.1438707820741325e-06,26
NT,LO,3.86937942409124e-06,32
Quantum Algebra,AT,2.2546744342774758e-05,73
Algebraic Geometry,AT,3.398894226411674e-05,99
AG,AT,3.88366691514943e-05,792
RA,AT,1.9502876436434418e-05,82
KT,MP,1.4229746413845181e-05,165
KT,OA,9.886307464162135e-05,208
KT,Mathematical Physics,1.4229746413845181e-05,165
Differential Geometry,Exactly Solvable and Integrable Systems,6.501128595924253e-06,65
SP,SP,0.00020832394937164993,296
Mathematical Physics,SP,1.7780092743010377e-05,278
MP,SP,1.7780092743010377e-05,278
Differential Geometry,SP,1.6551531063913502e-05,140
RA,CO,2.873515427359193e-05,311
RA,RT,8.292681394552587e-05,528
AG,OA,3.941459577577248e-06,93
AG,RA,2.6796003358827206e-05,543
AG,KT,4.005031506247849e-05,351
LO,KT,1.07786728866795e-06,2
LO,AG,2.162475324955167e-06,45
LO,AT,1.3896470829107456e-06,6
NT,KT,7.752027011507453e-06,27
NT,AT,2.0975793933800393e-06,17
CV,KT,2.7443515755871265e-06,5
CV,AT,6.604588254636126e-06,28
Quantum Algebra,RA,2.5798382223857846e-05,83
Quantum Algebra,CT,0.00010771056152545082,128
Algebraic Geometry,RA,1.1056198657777483e-05,32
Algebraic Geometry,CT,6.828300969057508e-05,73
AT,RA,2.9729994567735392e-05,125
AT,CT,0.0002607796991053003,405
RA,RA,0.0002455758058524592,1026
RA,CT,7.257552390456318e-05,112
CV,GT,3.01817217320107e-06,25
CV,Differential Geometry,1.8735227204972138e-05,274
CV,SG,1.9418410828327266e-05,75
GT,CT,1.7466702039484633e-05,53
Differential Geometry,CT,2.0532041183541514e-05,110
CT,AT,0.00021892616715012863,340
DS,MP,9.52961805290844e-06,381
DS,Mathematical Physics,9.52961805290844e-06,381
Exactly Solvable and Integrable Systems,Quantum Algebra,6.312658774640788e-05,140
Exactly Solvable and Integrable Systems,QA,4.651591717810478e-05,458
RA,KT,5.3129787215202204e-05,96
Mathematical Physics,RA,1.0629906634359708e-05,285
MP,RA,1.0629906634359708e-05,285
KT,RA,4.8148869663776994e-05,87
KT,QA,5.42300051542787e-05,335
OA,Probability,9.103167333284025e-06,96
Functional Analysis,Probability,6.372052374349254e-06,91
CO,GT,1.1277874853651952e-05,240
CA,Probability,1.0460739653007945e-05,101
CA,RT,1.797399222256517e-05,122
Functional Analysis,RT,9.860906436432763e-06,99
KT,RT,2.6147018876695016e-05,72
